y,x,val
-6.862,107.590,16.8
-6.863,107.592,17.28
-6.874,107.596,14.39
-6.893,107.585,14.91
-6.891,107.572,14.25
-6.891,107.574,16.19
-6.901,107.597,16.57
-6.906,107.598,13.32
-6.907,107.604,14.44
-6.909,107.604,15.92
-6.913,107.602,13.87
-6.921,107.608,14.66
-6.920,107.601,14.23
-6.937,107.605,17.15
-6.927,107.627,15.45
-6.919,107.632,15.91
-6.911,107.626,15.56
-6.906,107.621,15.5
-6.908,107.611,15.28
-6.914,107.610,13.54
-6.907,107.609,14.72
-6.900,107.618,15.82
-6.893,107.610,14.16
-6.890,107.616,15.12
-6.887,107.615,14.68
-6.891,107.594,17.33